Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars
,Disney Vera Bradley Where's Mickey Large Duffel Bag,NA,,7 customer reviews,4.5 out of 5 stars,NA,Package Dimensions:  15.3 x 11.2 x 3 inches; Shipping Weight:  1.2 pounds; ASIN:  B00H6UDEXC; ; Date first available at Amazon.com:  December 8 2013; Amazon Best Sellers Rank:  #1620248 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2265 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2265 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 7 customer reviews,5 star (72%),4 star (14%),3 star (14%),N/A,N/A
NGIL,Paisley Print NGIL Large Quilted Duffle Bag,34.93,,1 customer review,5.0 out of 5 stars,NA,Shipping Weight:  1 pounds (View shipping rates and policies); ASIN:  B01NGYQJDD; ; Item model number:  PSN2626_007; Date first available at Amazon.com:  December 22 2016; Amazon Best Sellers Rank:  #6562854 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#7410 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #7410 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
Outdoor Research,Outdoor Research Rangefinder Duffel - large Coyote Heather 1size,119.00,,NA,NA,NA,Product Dimensions:  26 x 17 x 3 inches ; 2.91 pounds; Shipping Weight:  1.6 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B01B4BHYWA; Item model number:  242684; Average Customer Review:  Be the first to review this item; Amazon Best Sellers Rank:  #1073570 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#4086 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4086 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,N/A,N/A,N/A,N/A,N/A
Ricardo Beverly Hills,Ricardo Beverly Hills Mar Vista 2.0 20-Rolling City Duffel Bag,79.99,Black; Midnight Paisley; Moroccan Bue,NA,NA,NA,Product Dimensions:  11.2 x 20.5 x 13 inches; Shipping Weight:  7.25 pounds (View shipping rates and policies); ASIN:  B01JUCISA2; ; Item model number:  050-20-084-RDF; Date first available at Amazon.com:  August 3 2016; Amazon Best Sellers Rank:  #1925663 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2621 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2621 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
HEX,Coca- Cola Sneaker Bags,69.95 - 159.95,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B078FT4QKG; ; Date first available at Amazon.com:  December 17 2017; Amazon Best Sellers Rank:  #2403794 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3191 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3191 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Floto,Floto Luggage Casiana Tote Leather Travel Bag,399.00,,NA,NA,NA,Product Dimensions:  10 x 21 x 13 inches; Shipping Weight:  4.2 pounds (View shipping rates and policies); ASIN:  B000291FOY; ; Item model number:  56Brown; Date first available at Amazon.com:  October 2 2003; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Nes Pak,Duffel bag Travel Bag Luggage Bag Carry On Luggage Tote Bag Gym Bag,19.99,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B074R7556D; ; Date first available at Amazon.com:  August 10 2017; Amazon Best Sellers Rank:  #289896 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#467 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #467 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Tiding,Tiding Men's Brown Genuine Leather Office Briefcase Ipad Holder Bag,49.99,,NA,NA,NA,Package Dimensions:  15.1 x 12.4 x 3.9 inches; Shipping Weight:  3 pounds (View shipping rates and policies); ASIN:  B06XFZVVW3; ; Item model number:  tiding-10807N-530; Date first available at Amazon.com:  March 7 2017; Amazon Best Sellers Rank:  #4499794 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5540 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5540 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
N.Gil,Geometric Themed Prints NGIL Canvas Carry on 20" Duffle Bag,32.29,Geometric Trellis-Navy; Multicolor Vine-Navy; Quatrefoil-Navy; Tribal Ikat-Hot Pink; Tribal Ikat-Navy,NA,NA,NA,Shipping Weight:  1 pounds (View shipping rates and policies); ASIN:  B01L9YVBQ2; ; Item model number:  MZM420_007; Date first available at Amazon.com:  August 30 2016; Amazon Best Sellers Rank:  #4005943 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5041 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5041 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Lil Princess,Dance Duffel Green and Metallic Purple Sequin,10.00,,NA,NA,NA,Product Dimensions:  12 x 8 x 10 inches; Shipping Weight:  8 ounces (View shipping rates and policies); ASIN:  B00J570PK4; ; Date first available at Amazon.com:  October 24 2013; Amazon Best Sellers Rank:  #3821190 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4843 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4843 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Private Label,Softball Duffle Bags for Girls,19.97,,1 customer review,5.0 out of 5 stars,NA,Product Dimensions:  19 x 9.5 x 9.5 inches; Shipping Weight:  12 ounces (View shipping rates and policies); ASIN:  B01BUGTTAE; ; Item model number:  SD-3055; Date first available at Amazon.com:  February 16 2016; Amazon Best Sellers Rank:  #2884750 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3778 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3778 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
,ALTOSY Mens Vintage Crazy Horse Duffel Bag Overnight Travel Carry On Bag Weekend,157.55,,1 customer review,5.0 out of 5 stars,NA,Product Dimensions:  19 x 7 x 11 inches; Shipping Weight:  2 pounds (View shipping rates and policies); ASIN:  B0736NXZGD; ; Item model number:  ALTOSY YD8030 Dark Brown; Date first available at Amazon.com:  June 23 2017; Amazon Best Sellers Rank:  #3620746 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4627 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4627 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
,Olympia 26" 8 Pocket Rolling Duffel Wheeled Luggage,39.36,,NA,NA,NA,Product Dimensions:  26 x 11 x 11 inches; Shipping Weight:  7 pounds (View shipping rates and policies); ASIN:  B077524F1D; ; Date first available at Amazon.com:  August 8 2016; Amazon Best Sellers Rank:  #3657258 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4673 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4673 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
FUNNYSHIRTS.ORG,Cheerleader Love JUSTICE : Liberty Barrel Duffel Bag,30.97,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B01CHTDKV2; ; Item model number:  484625No Size; Date first available at Amazon.com:  March 3 2016; Amazon Best Sellers Rank:  #7323733 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#8026 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #8026 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
,Fred Perry Scotch Grain Mens Holdall Black,145.00,,1 customer review,5.0 out of 5 stars,NA,Shipping Information:  View shipping rates and policies; ASIN:  B06XB63R8Y; ; Date first available at Amazon.com:  November 12 2016; Amazon Best Sellers Rank:  #3494873 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
kayond,KAYOND Travel Duffel Express Weekender Bag -Carry On Luggage with Shoe Pouch,35.99,,NA,NA,NA,Product Dimensions:  20.9 x 10.2 x 9.4 inches; Shipping Weight:  1.65 pounds (View shipping rates and policies); ASIN:  B076BMQ5K4; ; Date first available at Amazon.com:  October 10 2017; Amazon Best Sellers Rank:  #4609771 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5659 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5659 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Lowe Alpine,Lowe Alpine AT Kit 40L Duffel Bag,103.96,Anthracite/Tangerine; Atlantic Blue/Limestone; Pepper Red/Black,NA,NA,NA,Product Dimensions:  23 x 17 x 3 inches; Shipping Weight:  2.04 pounds (View shipping rates and policies); ASIN:  B01BOGRFAQ; ; Item model number:  FTR-44-AT-40; Date first available at Amazon.com:  May 11 2017; Amazon Best Sellers Rank:  #5051655 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#6069 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #6069 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
MineTom,Minetom Unisex Handbag Super Capacity Durable Solid Color Simple Shoulder Bag Travel Tote Canvas Women Casual,27.90,Black; Blue; Coffee; Khaki,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B071RLYZDG; ; Item model number:  AH160810-USA58-Blak; Date first available at Amazon.com:  April 26 2017; Amazon Best Sellers Rank:  #4680395 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5721 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5721 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
V S,Victoria's Secret 2017 Limited Edition Striped Pink Canvas Beach Tote,38.50,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B072C7K8LK; Average Customer Review:  Be the first to review this item; Amazon Best Sellers Rank:  #1361349 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#5111 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5111 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,N/A,N/A,N/A,N/A,N/A
Insun,Insun Men's Crazy Horse Leather Travel Duffel Bag,269.69,Coffee Crazy Horse Leather; Deep Brown Crazy Horse Leather 61,NA,NA,NA,Shipping Weight:  3.3 pounds (View shipping rates and policies); ASIN:  B01LQIC1BA; ; Item model number:  IS-1098-2; Date first available at Amazon.com:  September 7 2016; Amazon Best Sellers Rank:  #6442964 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#7310 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #7310 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
SatchelandFable,25" Men's Genuine Leather Vintage Duffle Gym Large Travel Weekend Luggage Bag,68.57,,3 customer reviews,5.0 out of 5 stars,NA,Product Dimensions:  25 x 10 x 10 inches; Shipping Weight:  4.15 pounds (View shipping rates and policies); ASIN:  B01M1SI8BJ; ; Item model number:  10427649; Date first available at Amazon.com:  September 22 2016; Amazon Best Sellers Rank:  #1910328 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2595 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2595 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 3 customer reviews,5 star (100%),N/A,N/A,N/A,N/A
Preferred Nation,Preferred Nation Mason Duffle,50.84,Black; Brown,1 customer review,5.0 out of 5 stars,NA,Product Dimensions:  10 x 20.5 x 12 inches; Shipping Weight:  6 pounds (View shipping rates and policies); ASIN:  B00K2440J6; ; Item model number:  P2578.BROWN; Date first available at Amazon.com:  May 1 2014; Amazon Best Sellers Rank:  #3447344 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4453 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4453 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
Texbo,Texbo Men's Brown Italian Leather Weekender Travel Duffle Bag 21 Inch,178.99,,NA,NA,NA,Product Dimensions:  21 x 10 x 11 inches; Shipping Weight:  3.04 pounds (View shipping rates and policies); ASIN:  B076LFH3H2; ; Item model number:  10464504; Date first available at Amazon.com:  October 19 2017; Amazon Best Sellers Rank:  #6221493 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#7122 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #7122 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Manhattan Portage,Manhattan Portage Chelsea Drum Bag,69.00,,1 customer review,2.0 out of 5 stars,NA,Product Dimensions:  8 x 18 x 8 inches; Shipping Weight:  14.6 ounces (View shipping rates and policies); ASIN:  B00A8ZQP1K; ; Item model number:  1802 BLK; Date first available at Amazon.com:  January 29 2014; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #3988237 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5020 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5020 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,N/A,N/A,N/A,2 star (100%),N/A
Ever Moda,Ever Moda Chevron Rolling Duffle Bag,59.97,Pink; Purple,11 customer reviews,5.0 out of 5 stars,NA,Product Dimensions:  22 x 12 x 10 inches; Shipping Weight:  5 pounds (View shipping rates and policies); ASIN:  B00EZWS7AY; ; Item model number:  DWS-656; Date first available at Amazon.com:  September 5 2013; Amazon Best Sellers Rank: #1758 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1758 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 11 customer reviews,5 star (100%),N/A,N/A,N/A,N/A
,Ted Baker Men's Shalala Bag,310.90,Black; Chocolate; Tan,3 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  8.7 x 18.1 x 10.6 inches; Shipping Weight:  4.95 pounds (View shipping rates and policies); ASIN:  B01AUS722K; ; Item model number:  XS6M-XB32-SHALALA; Date first available at Amazon.com:  March 16 2016; Amazon Best Sellers Rank:  #2125083 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2855 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2855 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 3 customer reviews,5 star (67%),4 star (33%),N/A,N/A,N/A
Wolfman,Wolfman Expedition Dry Duffel Bag Small Black,154.99,,10 customer reviews,4.7 out of 5 stars,NA,Product Dimensions:  21 x 2 x 12 inches; Shipping Weight:  2.9 pounds (View shipping rates and policies); ASIN:  B005BHCDAM; ; Item model number:  EX801; Date first available at Amazon.com:  July 7 2011; Amazon Best Sellers Rank:  #619463 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#904 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #904 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 10 customer reviews,5 star (80%),4 star (20%),N/A,N/A,N/A
Jacks Outlet,Vincent Van Gogh's Starry Night Weekender Bag,49.99,,NA,NA,NA,Product Dimensions:  12 x 20 x 10 inches; Shipping Information:  View shipping rates and policies; ASIN:  B06XGDTBWV; ; Date first available at Amazon.com:  January 16 2017; Amazon Best Sellers Rank:  #4997218 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#6020 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #6020 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
,RVCA Men's Cooked Tote Bag,50.00,,NA,NA,NA,Package Dimensions:  17.9 x 4.2 x 0.4 inches; Shipping Weight:  1.2 pounds (View shipping rates and policies); ASIN:  B01EG9DFKC; ; Item model number:  MGABACTB; Date first available at Amazon.com:  June 22 2016; Amazon Best Sellers Rank:  #2993348 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3901 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3901 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Member's,Members Foldaway Ultra Lightweight Nylon Holdall Small 55cm Black (22 Inch Holdall - 22" x 16" x 8" - 0.7lbs),25.00,,NA,NA,NA,Product Dimensions:  15.8 x 7.9 x 21.6 inches; Shipping Weight:  1 pounds (View shipping rates and policies); ASIN:  B01N2LK6BM; ; Date first available at Amazon.com:  February 27 2017; Amazon Best Sellers Rank:  #2657350 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3485 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3485 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Title Boxing,Golden Boy Super Sport Bag/Back Pack Black/Gold,39.99,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B078K517P8; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
ClaireChase,Clairechase Cameroon Duffel,211.93,Café; Distressed Brown; Saddle,NA,NA,NA,Product Dimensions:  20 x 10.5 x 13.5 inches; Shipping Weight:  5.2 pounds (View shipping rates and policies); ASIN:  B01M5FRCFC; ; Item model number:  221S-Distressed Brown; Date first available at Amazon.com:  August 23 2016; Amazon Best Sellers Rank:  #4768662 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5811 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5811 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Rothco,Rothco Vintage Canvas/Leather Medic Bag (No Import),19.99,Khaki; Olive Drab,6 customer reviews,3.1 out of 5 stars,NA,Shipping Weight:  12 ounces (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B00BMRGKVS; Item model number:  613902967199; Average Customer Review: 6 customer reviews; Amazon Best Sellers Rank:  #932056 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#3302 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Messenger Bags#5487 in Clothing Shoes & Jewelry > Uniforms Work & Safety > Clothing > Military; #3302 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Messenger Bags; #5487 in Clothing Shoes & Jewelry > Uniforms Work & Safety > Clothing > Military,5 star (17%),4 star (50%),3 star (17%),N/A,1 star (16%)
Rapid Dominance,Rapiddominance Side Zip Duffle Bag,36.85,Black; Olive,6 customer reviews,3.4 out of 5 stars,NA,Shipping Weight:  2.9 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B004XTXMGI; Item model number:  R32M-BLK; Average Customer Review: 6 customer reviews; Amazon Best Sellers Rank:  #983564 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#3734 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3734 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (33%),4 star (50%),N/A,N/A,1 star (17%)
,Berchirly Mens Waterproof Messenger Laptop Computer Bag Business Travel Duffel Weekender Bag,42.99,Black; Blue; Army Green; Gray,NA,NA,NA,Package Dimensions:  10 x 4 x 4 inches; Shipping Weight:  2.6 pounds (View shipping rates and policies); ASIN:  B07784THZ2; ; Item model number:  WB0095BK; Date first available at Amazon.com:  October 31 2017; Amazon Best Sellers Rank:  #4751013 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5273 in Computers & Accessories > Laptop Accessories > Bags Cases & Sleeves > Messenger Bags; #5273 in Computers & Accessories > Laptop Accessories > Bags Cases & Sleeves > Messenger Bags; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Huntvp,Huntvp Mens Travel Duffel Bag Boarding Gym Weekend Carry On Genuine Leather Weekend,79.99,Black; Brown,NA,NA,NA,Product Dimensions:  20.9 x 9.8 x 11 inches; Shipping Weight:  4.8 pounds (View shipping rates and policies); ASIN:  B01HAZB23Q; Item model number:  YSPJ-2513; Average Customer Review:  Be the first to review this item; Amazon Best Sellers Rank:  #1615867 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#5988 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5988 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,N/A,N/A,N/A,N/A,N/A
reisenthel,Reisenthel Mini Maxi Foldup Duffle Bag in Indigo Blue,64.49,,NA,NA,NA,Product Dimensions:  19.7 x 11 x 11 inches; Shipping Weight:  8.5 ounces (View shipping rates and policies); ASIN:  B01AWDZCUW; ; Item model number:  AM4008; Date first available at Amazon.com:  February 9 2016; Amazon Best Sellers Rank:  #3968877 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5003 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5003 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
ZERO Halliburton,Zero Halliburton Zest Wheeled Carry-On Nylon Duffel Bag in Black,NA,,NA,NA,NA,ASIN:  B01HP22M4C; ; Item model number:  748-BK; Date first available at Amazon.com:  June 28 2016; Amazon Best Sellers Rank:  #6336275 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#7218 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #7218 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Huntvp,Huntvp Mens Genuine Leather Travel Duffle Bag Business Weekend Crossbody Luggage Bags Overnight Sports Gym Tote,69.99,Black; Brown,NA,NA,NA,Product Dimensions:  18.1 x 8.7 x 11.8 inches; Shipping Weight:  4.25 pounds (View shipping rates and policies); ASIN:  B01HCMJ26Q; ; Item model number:  3679978; Date first available at Amazon.com:  June 21 2016; Amazon Best Sellers Rank:  #5642130 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#6615 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #6615 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
HADAKI,Hadaki Cool Duffel Bag,80.00,Cassandra ZigZag; Cassndra Paisley; Cobalt Stripes,11 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  7 x 18 x 11 inches; Shipping Weight:  2 pounds (View shipping rates and policies); ASIN:  B004K22JZS; ; Item model number:  Cool Duffle; Date first available at Amazon.com:  January 20 2011; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #2474275 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3263 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3263 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 11 customer reviews,5 star (64%),4 star (27%),3 star (9%),N/A,N/A
Customized Girl,Classic Cheer Girl Bag: Liberty Barrel Duffel Bag,28.97,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B01L2460II; ; Item model number:  3379467No Size; Date first available at Amazon.com:  August 26 2016; Amazon Best Sellers Rank:  #595627 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#885 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #885 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
OGIO,OGIO ENDURANCE - Endurance 1.0 Duffel,40.72,Black/Silver; Black/Silver/Magenta; White/Silver/Acid,NA,NA,NA,Product Dimensions:  18 x 10 x 9.8 inches; Shipping Weight:  1.01 pounds (View shipping rates and policies); ASIN:  B015JXFL38; ; Item model number:  412031; Date first available at Amazon.com:  September 18 2015; Amazon Best Sellers Rank:  #3465329 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4479 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4479 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
OTSK,Pink Black Girls 30Inch Block Checkered Sports Pattern Oversize Carry Rolling Upright Duffle Bag Geometric Theme Duffel Fashionable Large Travel Wheeling Duffel Bag MultiCompartment,37.99,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B073TPQJ57; ; Date first available at Amazon.com:  July 9 2017; Amazon Best Sellers Rank:  #4986604 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#6011 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #6011 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
